gene	chrom	start	end	strand
MIR4758	20	60907542	60907613	-
MIR4759	21	28326279	28326362	+
MIR4760	21	41584278	41584358	-
MIR4761	22	19951275	19951357	+
MIR4762	22	46156403	46156478	+
MIR4763	22	46509445	46509537	+
MIR4764	22	33832567	33832655	-
MIR4765	2	32860321	32860398	+
MIR4766	22	41209886	41209962	-
MIR4767	X	7065900	7065978	+
MIR4768	X	17444003	17444077	+
MIR4769	X	47446827	47446904	+
MIR4770	X	6301946	6302004	-
MIR4771-1	2	87421908	112528711	+
MIR4771-2	2	87421908	112528711	+
MIR4772	2	103048748	103048826	+
MIR4773-1	2	152224847	152224925	+
MIR4773-2	2	152224847	152224925	-
MIR4774	2	169439452	169439528	+
MIR4775	2	208619530	208619605	+
MIR4776-1	2	213790980	213791060	+
MIR4776-2	2	213790980	213791060	-
MIR4777	2	232227418	232227504	+
MIR4778	2	66585380	66585460	-
MIR4779	2	86420148	86420231	-
MIR4780	2	88382037	88382118	-
MIR4781	1	54519751	54519827	+
MIR4782	2	114478866	114478945	-
MIR4783	2	128181112	128181194	-
MIR4784	2	132248732	132248809	-
MIR4785	2	161264320	161264393	-
MIR4786	2	240882431	240882511	-
MIR4787	3	50712510	50712594	+
MIR4788	3	134156668	134156748	+
MIR4789	3	175087328	175087410	+
MIR4790	3	5291861	5291940	-
MIR4791	3	19356339	19356423	-
MIR4793	3	48681626	48681713	-
MIR4794	1	65045529	65045604	+
MIR4795	3	87275338	87275427	-
MIR4796	3	114462291	114462372	-
MIR4797	3	197020748	197020819	-
MIR4798	4	7312176	7312251	+
MIR4799	4	148703745	148703819	+
MIR4800	4	2251803	2251883	-
MIR4801	4	37243531	37243613	-
MIR4802	4	40504056	40504136	-
MIR4803	5	71465293	71465367	+
MIR4804	5	72174417	72174490	+
MIR483	11	2155363	2155439	-
MIR484	16	15737150	15737229	+
MIR485	14	101521755	101521828	+
MIR486-1	8	41517958	41518026	-
MIR486-2	8	41517961	41518025	+
MIR487A	14	101518782	101518862	+
MIR487B	14	101512791	101512875	+
MIR488	1	176998498	176998581	-
MIR489	7	93113247	93113331	-
MIR490	7	136587913	136588041	+
MIR491	9	20716103	20716187	+
MIR492	12	95228173	95228289	+
MIR493	14	101335396	101335485	+
MIR494	14	101495970	101496051	+
MIR495	14	101500091	101500173	+
MIR496	14	101526909	101527011	+
MIR497	17	6921229	6921341	-
MIR497HG	17	6919136	6922973	-
MIR498	19	54177450	54177574	+
MIR4999	19	8454173	8454264	-
MIR499A	20	33578178	33578300	+
MIR499B	20	33578202	33578275	-
MIR5000	2	75317938	75318041	+
MIR5001	2	233415183	233415283	-
MIR5002	3	123851775	123851872	+
MIR5003	5	172089167	172089266	+
MIR5004	6	33406107	33406214	+
MIR5006	13	42142421	42142531	-
MIR5007	13	55748588	55748683	+
MIR5008	1	228129290	228129384	-
MIR5009	15	90427162	90427262	-
MIR500A	X	49773038	49773122	+
MIR500B	X	49775279	49775358	+
MIR501	X	49774329	49774413	+
MIR5010	17	40666205	40666325	+
MIR5011	18	64748820	64748923	+
MIR502	X	49779205	49779291	+
MIR503	X	133680357	133680428	-
MIR503HG	X	133677406	133680660	-
MIR504	X	137749871	137749954	-
MIR5047	17	62497331	62497431	-
MIR505	X	139006306	139006390	-
MIR506	X	146312237	146312361	-
MIR507	X	146312501	146312595	-
MIR508	X	146318430	146318545	-
MIR5087	1	147806602	147806678	-
MIR5088	19	50185373	50185452	+
MIR5089	17	45050382	45050466	+
MIR509-1	X	146340277	146342143	-
MIR509-2	X	146340277	146342143	-
MIR509-3	X	146340282	146342133	-
MIR5090	7	102106188	102106273	+
MIR5091	4	13629488	13629581	+
MIR5092	3	124870308	124870396	-
MIR5093	16	85339831	85339931	-
MIR5094	15	90393868	90393953	-
MIR510	X	146353852	146353926	-
MIR5100	10	43493010	43493129	+
MIR511	10	17887106	18134122	+
MIR512-1	19	54169932	54172500	+
MIR512-2	19	54169926	54172508	+
MIR513A1	X	146294980	146295109	-
MIR513A2	X	146307343	146307470	-
MIR513B	X	146280561	146280645	-
MIR513C	X	146271221	146271305	-
MIR514A1	X	146360764	146360862	-
MIR514A2	X	146363460	146366246	-
MIR514A3	X	146363460	146366246	-
MIR514B	X	146331668	146331748	-
MIR515-1	19	54182256	54188345	+
MIR515-2	19	54182256	54188345	+
MIR516A1	19	54259994	54260084	+
MIR516A2	19	54264386	54264476	+
MIR516B1	19	54240098	54240188	+
MIR516B2	19	54228695	54228780	+
MIR517A	19	54215521	54215608	+
MIR517B	19	54224329	54224396	+
MIR517C	19	54244566	54244661	+
MIR5186	3	151283663	151283783	-
MIR5187	1	161196975	161197051	+
MIR5188	12	125400092	125400205	+
MIR5189	16	88535325	88535439	+
MIR518A1	19	54234259	54234344	+
MIR518A2	19	54242586	54242673	+
MIR518B	19	54205990	54206073	+
MIR518C	19	54211988	54212089	+
MIR518D	19	54238130	54238217	+
MIR518E	19	54233091	54233179	+
MIR518F	19	54203268	54203355	+
MIR5190	18	13459945	13460025	+
MIR5191	1	201688635	201688755	+
MIR5192	2	62432960	62433052	+
MIR5193	3	49843569	49843678	-
MIR5194	8	131020579	131020699	-
MIR5195	14	107259099	107259214	-
MIR5196	19	35836415	35836530	+
MIR5197	5	143059424	143059536	+
MIR519A1	19	54255650	54255735	+
MIR519A2	19	54265597	54265684	+
MIR519B	19	54198466	54198547	+
MIR519C	19	54189722	54189809	+
MIR519D	19	54216600	54216688	+
MIR519E	19	54183193	54183277	+
MIR520A	19	54194134	54194219	+
MIR520B	19	54204480	54204541	+
MIR520C	19	54210706	54210793	+
MIR520D	19	54223349	54223436	+
MIR520E	19	54178964	54179051	+
MIR520F	19	54185412	54185499	+
MIR520G	19	54225419	54225509	+
MIR520H	19	54245765	54245853	+
MIR521-1	19	54251889	54251976	+
MIR521-2	19	54219847	54219934	+
MIR522	19	54254464	54254551	+
MIR523	19	54201638	54201725	+
MIR524	19	54214255	54214342	+
MIR525	19	54200786	54200871	+
MIR526A1	19	54209505	54209590	+
MIR526A2	19	54230175	54230240	+
MIR526B	19	54197646	54197729	+
MIR527	19	54257271	54257356	+
MIR532	X	49767753	49767844	+
MIR539	14	101513657	101513735	+
MIR541	14	101530831	101530915	+
MIR542	X	133675370	133675467	-
MIR543	14	101498323	101498401	+
MIR544A	14	101514994	101515085	+
MIR544B	3	124451285	124451363	+
MIR545	X	73506938	73507044	-
MIR548A1	6	18572014	18572111	+
MIR548A1HG	6	18522977	18723129	+
MIR548A2	6	135560297	135560394	+
MIR548A3	8	105496596	105496693	-
MIR548AA1	8	124360273	124360370	+
MIR548AA2	17	65467604	65467701	+
MIR548AB	3	103242876	103242960	-
MIR548AC	1	117102645	117102733	-
MIR548AD	2	35696470	35696552	+
MIR548AE1	2	185243701	185243771	+
MIR548AE2	5	57825869	57825936	-
MIR548AG1	4	61788336	61788402	+
MIR548AG2	20	59139619	59139683	+
MIR548AH	4	77496703	77496779	+
MIR548AI	6	99572484	99572572	+
MIR548AJ1	6	132436331	132436403	-
MIR548AJ2	X	37883147	37883239	-
MIR548AK	10	12172758	12172815	-
MIR548AL	11	74110281	74110378	+
MIR548AM	X	16645134	16645208	-
MIR548AN	X	105883043	105883126	+
MIR548AO	8	41128566	41128662	-
MIR548AP	15	86368865	86368961	+
MIR548AR	13	115009979	115010036	+
MIR548AS	13	93142415	93142473	+
MIR548AT	17	40646790	40646848	+
MIR548AV	18	70520555	70520617	-
MIR548AW	9	135821093	135821158	+
MIR548AX	X	11336733	11336806	-
MIR548AY	3	32547774	32547881	-
MIR548AZ	8	120337410	120337505	+
MIR548B	6	119390211	119390308	-
MIR548BA	2	49286741	49286797	+
MIR548BB	3	60603537	60603603	-
MIR548BC	17	37453652	37453762	+
MIR548C	12	65016288	65016385	+
MIR548D1	8	124360273	124360370	-
MIR548D2	17	65467606	65467701	-
MIR548E	10	112748683	112748771	+
MIR548F1	10	56367633	56367717	-
MIR548F2	2	213290986	213291084	-
MIR548F4	7	147075108	147075213	-
MIR548F5	X	32659590	32659676	-
MIR548G	4	148265780	148265869	-
MIR548H1	14	64561741	64561843	-
MIR548H2	16	11400296	11400384	-
MIR548H3	17	13446845	13446963	-
MIR548H4	8	26906369	26906480	-
MIR548H5	6	132113311	132113371	+
MIR548I1	3	125509246	125509395	-
MIR548I2	4	9557788	9557937	-
MIR548I3	8	7946462	7946611	-
MIR548I4	X	83480759	83480836	-
MIR548J	22	26951177	26951289	-
MIR548K	11	70130060	70130176	+
MIR548L	11	94199660	94199746	-
MIR548M	X	94318139	94318225	-
MIR548O	7	102046188	102046302	-
MIR548O2	20	37145205	37145275	+
MIR548P	5	100152185	100152269	-
MIR548Q	10	12767252	12767352	-
MIR548S	2	11907569	11907651	+
MIR548T	4	174189310	174189384	+
MIR548U	6	57254929	57255010	+
MIR548V	8	17539086	17539166	-
MIR548W	16	26036557	26036631	+
MIR548X	21	20058407	20058482	-
MIR548X2	13	66540461	66540561	-
MIR548XHG	21	19933582	20132130	-
MIR548Y	14	48230197	48230307	-
MIR548Z	12	65016288	65016385	-
MIR549A	15	81134318	81134414	-
MIR550A1	7	30329409	30329506	+
MIR550A2	7	32772592	32772689	+
MIR550A3	7	29720349	29720444	-
MIR550B1	7	30329409	30329506	-
MIR550B2	7	32772592	32772689	-
MIR551A	1	3477259	3477354	-
MIR551B	3	168269641	168269737	+
MIR552	1	35135199	35135295	-
MIR553	1	100746796	100746864	+
MIR554	1	151518271	151518367	+
MIR555	1	155316140	155316236	-
MIR556	1	162312335	162312430	+
MIR557	1	168344761	168344859	+
MIR5571	22	23228446	23228559	+
MIR5572	15	80873443	80873580	+
MIR5579	11	79133212	79133270	-
MIR558	2	32757219	32757313	+
MIR5580	14	54415144	54415202	-
MIR5581	1	37966535	37966595	-
MIR5582	11	46774674	46774742	-
MIR5583-1	18	37256684	37256743	+
MIR5583-2	18	37256682	37256741	-
MIR5584	1	45011164	45011224	+
MIR5585	1	32552549	32552608	+
MIR5586	14	60113679	60113738	-
MIR5587	16	585315	585368	+
MIR5588	3	184970997	184971060	-
MIR5589	19	10149029	10149089	+
MIR559	2	47604813	47604909	+
MIR5590	2	135615389	135615443	+
MIR5591	4	39413529	39413594	+
MIR561	2	189162218	189162315	+
MIR562	2	233037362	233037457	+
MIR563	3	15915277	15915356	+
MIR564	3	44903379	44903473	+
MIR567	3	111831647	111831745	+
MIR568	3	114035321	114035416	-
MIR5680	8	103137659	103137743	+
MIR5681A	8	75460777	75460852	+
MIR5681B	8	75460784	75460844	-
MIR5682	3	120768486	120768562	+
MIR5683	6	6169566	6169642	+
MIR5684	19	12897941	12898006	+
MIR5685	6	53141790	53141869	+
MIR5687	5	54804677	54804754	-
MIR5688	3	85434859	85434942	+
MIR5689	6	10439949	10440027	+
MIR5689HG	6	10434561	10457012	+
MIR569	3	170824452	170824548	-
MIR5690	6	35632493	35632566	-
MIR5691	11	9111858	9111926	-
MIR5692B	21	44371037	44371124	-
MIR5692C1	5	135138673	135138764	-
MIR5692C2	7	97593716	97593793	-
MIR5693	13	51922702	51922775	-
MIR5694	14	67908571	67908647	-
MIR5695	19	13031133	13031218	+
MIR5696	2	101925911	101925996	+
MIR5697	1	10027438	10027516	+
MIR5698	1	154076996	154077068	-
MIR5699	10	687628	687718	-
MIR570	3	195426271	195426368	+
MIR5700	12	94955564	94955635	+
MIR5701-1	15	21145580	22156847	+
MIR5701-2	15	21145580	22156847	+
MIR5701-3	15	21145580	22156847	+
MIR5702	2	227523425	227523509	-
MIR5703	2	228336847	228336903	+
MIR5704	3	131704698	131704775	-
MIR5705	4	88221646	88221735	-
MIR5706	5	118490331	118490411	+
MIR5707	7	158384307	158384388	+
MIR5708	8	81153623	81153708	+
MIR570HG	3	195415368	195438746	+
MIR571	4	343945	344041	+
MIR572	4	11370450	11370545	+
MIR573	4	24521814	24521913	-
MIR5739	22	28855856	28855936	+
MIR574	4	38869652	38869748	+
MIR575	4	83674489	83674583	-
MIR576	4	110409853	110409951	+
MIR577	4	115577914	115578010	+
MIR578	4	166307393	166307489	+
MIR5787	3	50264867	50264922	+
MIR579	5	32394483	32394581	-
MIR580	5	36147993	36148090	-
MIR581	5	53247333	53247429	-
MIR582	5	58999431	58999529	-
MIR583	5	95414841	95414916	+
MIR584	5	148441875	148441972	-
MIR585	5	168690604	168690698	-
MIR586	6	45165410	45165507	-
MIR587	6	107231999	107232095	+
MIR588	6	126805776	126805859	+
MIR589	7	5535449	5535548	-
MIR590	7	73605527	73605624	+
MIR591	7	95848973	95849068	-
MIR592	7	126698141	126698238	-
MIR593	7	127721912	127722012	+
MIR595	7	158325409	158325505	-
MIR596	8	1765396	1765473	+
MIR597	8	9599181	9599278	+
MIR598	8	10892715	10892812	-
MIR599	8	100548863	100548958	-
MIR600	9	125873824	125873922	-
MIR600HG	9	125871772	125877756	-
MIR601	9	126164803	126164882	-
MIR602	9	140732870	140732968	+
MIR603	10	24564613	24564710	+
MIR604	10	29833932	29834026	-
MIR605	10	53059332	53059415	+
MIR606	10	77312215	77312311	+
MIR6068	1	63792595	63792655	-
MIR6069	22	35732713	35732792	-
MIR607	10	98588425	98588521	-
MIR6070	21	45029767	45029870	-
MIR6071	2	86010722	86010800	-
MIR6072	10	2118212	2118283	-
MIR6073	11	15991078	15991167	-
MIR6074	12	66417399	66417506	-
MIR6075	5	1510876	1510971	-
MIR6076	14	50433116	50433229	+
MIR6077	1	143672920	147860515	+
MIR6078	10	4033351	4033451	+
MIR6079	1	44304293	44304355	+
MIR608	10	102734741	102734841	+
MIR6080	17	62776876	62776942	+
MIR6081	9	97827631	97827728	+
MIR6082	4	172107334	172107443	+
MIR6083	3	124093178	124093284	+
MIR6084	1	20960171	20960281	+
MIR6085	15	62635227	62635337	+
MIR6086	X	13608410	13608465	+
MIR6088	19	45939911	45939962	+
MIR609	10	105978546	105978641	-
MIR6090	11	128392284	128392344	+
MIR610	11	28078361	28078457	+
MIR611	11	61559966	61560033	-
MIR612	11	65211928	65212028	+
MIR6124	11	12185229	12185314	+
MIR6125	12	62654139	62654235	+
MIR6126	16	3535380	3535469	-
MIR6127	1	22959750	22959859	-
MIR6128	11	56511348	56511457	+
MIR6129	17	47365707	47365816	-
MIR613	12	12917582	12917677	+
MIR6130	21	24451605	24451714	+
MIR6131	5	10478148	10478257	+
MIR6132	7	116660264	116660373	+
MIR6133	7	132975634	132975742	+
MIR6134	X	28513671	28513780	-
MIR614	12	13068762	13068852	+
MIR615	12	54427733	54427829	+
MIR616	12	57912947	57913042	-
MIR6165	17	47588178	47588262	+
MIR617	12	81226311	81226408	-
MIR618	12	81329514	81329612	-
MIR619	12	109230683	109230782	-
MIR620	12	116586364	116586459	-
MIR621	13	41384901	41384997	+
MIR622	13	90883435	90883531	+
MIR623	13	100008384	100008482	+
MIR624	14	31483851	31483948	-
MIR625	14	65937819	65937904	+
MIR626	15	41983782	41983876	+
MIR627	15	42491767	42491864	-
MIR628	15	55665137	55665232	-
MIR629	15	70371710	70371807	-
MIR630	15	72879557	72879654	+
MIR631	15	75645951	75646026	-
MIR632	17	30677127	30677221	+
MIR633	17	61021575	61021673	+
MIR634	17	64783189	64783286	+
MIR635	17	66420591	66420689	-
MIR636	17	74732531	74732630	-
MIR637	19	3961411	3961510	-
MIR638	19	10829079	10829179	+
MIR639	19	14640354	14640452	+
MIR640	19	19545871	19545967	+
MIR641	19	40788449	40788548	-
MIR642A	19	46178185	46178282	+
MIR642B	19	46178189	46178266	-
MIR643	19	52785049	52785143	+
MIR644A	20	33054129	33054223	+
MIR645	20	49202322	49202416	+
MIR646	20	58883531	58883625	+
MIR646HG	20	58713547	58897314	+
MIR647	20	62573983	62574079	-
MIR648	22	18463633	18463727	-
MIR649	22	21388464	21388561	-
MIR6499	5	150901647	150901709	-
MIR650	22	23165269	23165365	+
MIR6500	1	51525689	51525775	+
MIR6501	21	34922967	34923034	+
MIR6502	12	66644861	66644937	+
MIR6503	11	59976543	59976629	-
MIR6504	16	81644952	81645013	+
MIR6505	12	48526579	48526650	+
MIR6506	16	15704886	15704952	-
MIR6507	10	100684255	100684325	-
MIR6508	21	40818935	40818995	+
MIR6509	7	134891746	134891830	-
MIR651	X	8095005	8095102	+
MIR6510	17	39673415	39673469	-
MIR6511A1	16	15019793	18437936	+
MIR6511A2	16	15019793	18437936	+
MIR6511A3	16	15019793	18437936	+
MIR6511A4	16	15019793	18437936	+
MIR6511B1	16	2156669	15228007	-
MIR6511B2	16	2156678	15228002	-
MIR6512	2	178178533	178178610	-
MIR6513	2	219144847	219144911	-
MIR6514	11	62560173	62560243	-
MIR6515	19	13051297	13051354	+
MIR6516	17	75085498	75085579	+
MIR652	X	109298556	109298654	+
MIR6529	3	119803410	119803495	-
MIR653	7	93112071	93112167	-
MIR654	14	101506555	101506636	+
MIR655	14	101515886	101515983	+
MIR656	14	101533060	101533138	+
MIR657	17	79099075	79099173	-
MIR658	22	38240278	38240378	-
MIR659	22	38243684	38243781	-
MIR660	X	49777848	49777945	+
MIR661	8	145019358	145019447	-
MIR662	16	820182	820277	+
MIR663A	20	26188821	26188914	-
MIR663AHG	20	26167654	26189869	-
MIR663B	2	133014538	133014653	-
MIR664A	1	220373883	220373961	-
MIR664B	X	153996870	153996931	+
MIR665	14	101341369	101341441	+
MIR668	14	101521594	101521660	+
MIR670	11	43581205	43581303	+
MIR670HG	11	43590855	43591950	+
MIR671	7	150935506	150935624	+
MIR6715A	10	114059369	114059448	+
MIR6715B	10	114059369	114059446	-
MIR6716	11	118514717	118514797	+
MIR6717	14	21491472	21491545	-
MIR6718	18	3885352	3885432	+
MIR6719	19	40320355	40320442	-
MIR6720	6	1390548	1390646	-
MIR6721	6	32137806	32137893	-
MIR6722	9	139641344	139641422	-
MIR6726	1	1231489	1231550	-
MIR6727	1	1247881	1247946	-
MIR6728	1	8926560	8926649	-
MIR6729	1	12089214	12089279	+
MIR6731	1	25245835	25245907	-
MIR6732	1	37945830	37945890	+
MIR6733	1	43637322	43637383	-
MIR6734	1	43830318	43830386	-
MIR6735	1	43914209	43914282	+
MIR6736	1	145584422	145584481	+
MIR6737	1	153934826	153934896	-
MIR6738	1	155921063	155921127	-
MIR6739	1	201832500	201832575	+
MIR6740	1	201972251	201972364	+
MIR6741	1	226109779	226109842	-
MIR6742	1	228584748	228584810	-
MIR6743	11	209335	209406	+
MIR6744	11	1277834	1277900	+
MIR6745	11	47201161	47201288	-
MIR6746	11	61645687	61645750	-
MIR6747	11	62334482	62334543	-
MIR6748	11	62557286	62557357	+
MIR6749	11	64669858	64669927	-
MIR675	11	2017988	2018061	-
MIR6750	11	64665834	64665909	-
MIR6751	11	64897387	64897450	-
MIR6752	11	67257715	67257786	+
MIR6753	11	67812260	67812424	+
MIR6754	11	71184548	71184614	+
MIR6755	11	85989374	85989440	+
MIR6756	11	119183659	119183722	-
MIR6757	12	53450727	53450796	+
MIR6758	12	57906470	57906533	+
MIR6759	12	58142400	58142465	-
MIR676	X	69242706	69242773	+
MIR6760	12	111741945	111742013	+
MIR6761	12	112237637	112237709	+
MIR6762	12	113729327	113729413	+
MIR6763	12	133158582	133158647	+
MIR6764	14	100743693	100743754	+
MIR6765	14	105617114	105617201	-
MIR6766	15	89869969	89870041	-
MIR6767	16	2495392	2495458	+
MIR6768	16	2513967	2514039	+
MIR6769A	16	4721318	4721391	+
MIR6769B	1	206648145	206648207	+
MIR6770-1	16	15024676	18473267	+
MIR6770-2	16	15024676	18473267	+
MIR6770-3	16	15024676	18473267	+
MIR6771	16	50326526	50326586	+
MIR6772	16	57806200	57806264	-
MIR6773	16	68267328	68267402	-
MIR6774	16	85951952	85952022	+
MIR6775	16	87868197	87868266	-
MIR6776	17	2596154	2596213	-
MIR6777	17	17716793	17716859	-
MIR6778	17	18244127	18244200	-
MIR6779	17	37071231	37071295	+
MIR6780A	17	40860101	40860169	-
MIR6780B	6	43402279	43402358	+
MIR6781	17	40975897	40975961	-
MIR6782	17	42285138	42285207	-
MIR6783	17	43011985	43012049	-
MIR6784	17	43191734	43191801	-
MIR6785	17	73494628	73494709	+
MIR6786	17	79660786	79660899	+
MIR6787	17	80194543	80194604	+
MIR6788	18	10759581	10759647	-
MIR6789	19	2235827	2235925	-
MIR6790	19	6392931	6392994	-
MIR6791	19	6736722	6736789	-
MIR6792	19	7682324	7682391	+
MIR6793	19	10939648	10939711	+
MIR6794	19	12963073	12963141	+
MIR6795	19	15290093	15290161	-
MIR6796	19	40875752	40875814	+
MIR6797	19	42373696	42373768	+
MIR6798	19	49513162	49513229	+
MIR6799	19	50295122	50295191	+
MIR6800	19	50335274	50335356	+
MIR6801	19	52725272	52725351	+
MIR6802	19	55751279	55751344	-
MIR6803	19	55756553	55756618	-
MIR6804	19	55742252	55742320	-
MIR6805	19	55899548	55899610	+
MIR6806	19	58846053	58846117	+
MIR6807	19	59061651	59061743	+
MIR6808	1	1275029	1275088	-
MIR6809	2	218765235	218765351	-
MIR6810	2	219206633	219206703	+
MIR6811	2	238419573	238419631	+
MIR6812	20	44054149	44054213	+
MIR6813	20	62708307	62708363	-
MIR6814	21	43166931	43167001	-
MIR6815	21	46898179	46898240	+
MIR6816	22	20102208	20102274	-
MIR6817	22	25851612	25851678	+
MIR6818	22	30403037	30403102	+
MIR6819	22	36682892	36682953	-
MIR6820	22	38363569	38363631	+
MIR6821	22	50356513	50356587	+
MIR6822	3	39179696	39179757	+
MIR6823	3	48587393	48587454	-
MIR6824	3	48671068	48671131	-
MIR6825	3	127294108	127294174	-
MIR6826	3	128990988	128991086	+
MIR6827	3	134086645	134086704	-
MIR6828	3	170140890	170140950	+
MIR6829	3	195609199	195609266	-
MIR6830	5	131553541	131553611	-
MIR6831	5	139943255	139943336	-
MIR6832	6	31601563	31601635	+
MIR6833	6	32147592	32147653	+
MIR6834	6	33258021	33258102	+
MIR6835	6	34208449	34208513	+
MIR6836	7	2297149	2297212	-
MIR6837	7	44091364	44091428	+
MIR6838	7	44112976	44113032	-
MIR6839	7	64139441	64139554	+
MIR6840	7	99954273	99954344	+
MIR6841	8	24811309	24811381	-
MIR6842	8	27290886	27290951	+
MIR6843	8	27468117	27468268	-
MIR6844	8	125520755	125520817	-
MIR6845	8	144919927	144919988	-
MIR6846	8	145112223	145112283	-
MIR6847	8	145134776	145134845	+
MIR6848	8	145540908	145540978	-
MIR6849	8	145625670	145625739	-
MIR6850	8	146017315	146017376	-
MIR6851	9	33467866	33467933	-
MIR6852	9	35710672	35710738	-
MIR6853	9	35732918	35732992	+
MIR6854	9	100991430	100991499	-
MIR6855	9	132631883	132631950	+
MIR6856	9	133501683	133501750	+
MIR6857	X	53432604	53432697	-
MIR6858	X	153678667	153678734	+
MIR6860	11	66813113	66813179	+
MIR6861	12	112601061	112601125	-
MIR6862-1	16	28402302	28735642	-
MIR6862-2	16	28402302	28735642	-
MIR6863	16	56938175	56938265	+
MIR6864	17	4872996	4873066	-
MIR6865	17	4873380	4873445	-
MIR6866	17	38318185	38318254	+
MIR6867	17	38349848	38349915	+
MIR6868	17	74094099	74094157	-
MIR6869	20	1373543	1373605	-
MIR6870	20	10630283	10630343	-
MIR6871	20	39797662	39797718	+
MIR6872	3	50310666	50310728	+
MIR6873	6	33255003	33255066	-
MIR6874	7	5751470	5751541	-
MIR6875	7	100465657	100465729	+
MIR6876	8	25202917	25202990	+
MIR6877	9	135927382	135927446	+
MIR6878	1	150464820	150464886	+
MIR6879	11	64785976	64786042	+
MIR6880	12	124821726	124821788	-
MIR6881	15	74703697	74703773	-
MIR6882	15	75132982	75133048	-
MIR6883	17	8048311	8048389	-
MIR6884	17	38182584	38182662	-
MIR6885	19	6389648	6389714	-
MIR6886	19	11224149	11224210	+
MIR6887	19	35613603	35613668	+
MIR6888	2	160043345	160043412	+
MIR6889	22	41648995	41649054	-
MIR6890	3	49137286	49137347	-
MIR6891	6	30229276	31323093	+
MIR6892	7	143079778	143079893	+
MIR6893	8	145660933	145661002	-
MIR6894	X	53228070	53228127	-
MIR6895	X	53224592	53224670	-
MIR7-1	9	86584662	86584772	-
MIR7-2	15	89155055	89155165	+
MIR7-3	19	4770681	4770791	+
MIR7-3HG	19	4769116	4772568	+
MIR708	11	79113065	79113153	-
MIR7106	12	113596917	113596982	-
MIR7107	12	121882075	121882155	-
MIR7108	19	2434911	2434998	-
MIR7109	22	32017452	32017517	-
MIR711	3	48616334	48616410	-
MIR7110	3	122880640	122880726	+
MIR7111	6	35438284	35438356	+
MIR7112	8	145317575	145486693	-
MIR7113	11	67800330	67800389	+
MIR7114	9	140344477	140344538	-
MIR7150	9	126247807	126247901	-
MIR7151	10	69163108	69163168	-
MIR7152	10	73550503	73550557	+
MIR7153	18	11654883	11654940	-
MIR7154	11	45713253	45713326	-
MIR7155	11	64109320	64109376	-
MIR7156	1	77525827	77525887	+
MIR7157	2	141344194	141344254	-
MIR7158	2	6114793	6114864	+
MIR7159	6	33866911	33866977	+
MIR7160	8	2024668	2024720	+
MIR7161	6	159030738	159030822	+
MIR7162	10	30657525	30657594	-
MIR718	X	153285370	153285440	-
MIR744	17	11985215	11985313	+
MIR7515	2	6790504	6790571	+
MIR7515HG	2	6789238	6790651	-
MIR758	14	101492356	101492444	+
MIR759	13	53384184	53384275	+
MIR760	1	94312387	94312467	+
MIR761	1	52302015	52302074	-
MIR762	16	30905223	30905306	+
MIR762HG	16	30886780	30906539	+
MIR764	X	113873917	113874002	+
MIR765	1	156905922	156906036	-
MIR766	X	118780700	118780811	-
MIR767	X	151561892	151562001	-
MIR769	19	46522189	46522307	+
MIR770	14	101318726	101318824	+
MIR7702	9	114033435	114033494	-
MIR7703	14	24612697	24612774	-
MIR7704	2	177053570	177053629	+
MIR7705	8	101715195	101715252	-
MIR7706	15	85923826	85923893	+
MIR7843	14	72983527	72983606	+
MIR7844	12	94965006	94965128	-
MIR7845	2	208031123	208031222	+
MIR7846	1	12226999	12227095	+
MIR7847	11	1901274	1901377	+
MIR7848	8	134058725	134058826	-
MIR7849	4	147329734	147329840	+
MIR7850	19	2630712	2630791	+
MIR7851	12	42717501	42717661	-
MIR7852	1	108439844	108439926	+
MIR7853	6	6169536	6169668	-
MIR7854	16	81567506	81567571	+
MIR7855	14	65252343	65252404	-
MIR7856	1	86823314	86823370	-
MIR7973-1	15	51606230	51606306	+
MIR7973-2	15	51606228	51606304	-
MIR7974	19	11606358	11606437	-
MIR7975	19	55634592	55634660	-
MIR7976	3	127305953	127306019	-
MIR7977	3	176232890	176232939	+
MIR7978	4	21466322	21466381	-
MIR802	21	37093012	37093106	+
MIR8052	11	130536629	130536698	+
MIR8053	4	47654685	47654758	+
MIR8054	11	23440650	23440736	-
MIR8055	8	6479644	6479741	-
MIR8056	5	172774457	172774539	+
MIR8057	18	24171430	24171499	-
MIR8058	16	82722535	82722624	+
MIR8059	17	48846010	48846091	+
MIR8060	3	96078807	96078883	+
MIR8061	19	55156759	55156834	+
MIR8062	20	7352254	7352339	+
MIR8063	15	37265021	37265102	-
MIR8064	3	52880478	52880568	-
MIR8065	16	5682467	5682567	+
MIR8066	4	102161951	102162029	-
MIR8067	15	62596856	62596933	-
MIR8068	11	28499027	28499095	-
MIR8069-1	21	15096509	15096595	+
MIR8069-2	21	15096509	15096595	+
MIR8070	11	11804681	11804769	-
MIR8071-1	14	106087452	106106569	+
MIR8071-2	14	106087452	106106569	+
MIR8072	12	123849310	123849390	-
MIR8073	13	110993304	110993376	+
MIR8074	19	51710184	51710265	-
MIR8075	13	113917233	113917313	+
MIR8076	3	113150964	113151047	-
MIR8077	19	42855282	42855357	+
MIR8078	18	112255	112339	-
MIR8079	13	44770264	44770336	-
MIR8080	2	80093620	80093709	-
MIR8081	9	109363208	109363303	+
MIR8082	4	114073437	114073518	+
MIR8083	1	153662180	153662269	-
